trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
169,False,"{'a': 0.5, 'e': 0.9855847669095608}",20,5,-92.23767401610041,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
170,False,"{'a': 0.5, 'e': 0.9854150917963483}",20,6,-65.9878878177517,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
171,False,"{'a': 0.5, 'e': 0.9852444312681263}",30,0,-127.9782935848234,"{0: 15, 1: 4, 2: 9, 3: 2, 4: 0}",0
172,False,"{'a': 0.5, 'e': 0.9850727854955552}",25,15,-79.00042035800213,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 2}",1
173,False,"{'a': 0.5, 'e': 0.9849001546502806}",30,0,-107.05318426305465,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.9847265389049334}",20,0,-114.54805273563139,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
175,False,"{'a': 0.5, 'e': 0.9845519384331295}",20,0,-82.49207550780922,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.984376353409469}",25,0,-361.0043550684106,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 8}",0
177,False,"{'a': 0.5, 'e': 0.9841997840095373}",20,0,-70.30813820918081,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.9840222304099036}",20,0,-142.00923717047607,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
179,False,"{'a': 0.5, 'e': 0.9838436927881214}",25,0,-148.65471597473206,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
180,False,"{'a': 0.5, 'e': 0.9836641713227284}",20,6,-56.92604461576969,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
181,False,"{'a': 0.5, 'e': 0.9834836661932461}",25,5,-101.40902319907987,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",1
